"","cut.values","TP","FP","predict.time","Survival","AUC"
"1",-Inf,1,1,180,0.91706204865739,0.610483945514594
"2",-2,0.998871470242421,0.996414990161096,180,0.91706204865739,0.610483945514594
"3",-1,0.979012259730919,0.941061920126782,180,0.91706204865739,0.610483945514594
"4",0,0.892365879044343,0.767448218228815,180,0.91706204865739,0.610483945514594
"5",1,0.771687816899406,0.59323237159563,180,0.91706204865739,0.610483945514594
"6",2,0.560262628561212,0.402222203523452,180,0.91706204865739,0.610483945514594
"7",3,0.247296958624406,0.161946956050279,180,0.91706204865739,0.610483945514594
"8",4,0.0700498512826394,0.0423748370971144,180,0.91706204865739,0.610483945514594
"9",5,0.0212360136932498,0.0107170621039281,180,0.91706204865739,0.610483945514594
"10",6,0.00246813946142026,0.00109314776426561,180,0.91706204865739,0.610483945514594
"11",7,0,0.000263379837795119,180,0.91706204865739,0.610483945514594
"12",8,0,0,180,0.91706204865739,0.610483945514594
