"","exp(coef)","exp(-coef)","2.5%","97.5%"
"X.ctDNA",1.52659604994384,0.655052133822032,1.17770276922855,1.9788486200391
"Non.Small.Cell.Lung.Cancer",1.64190298022131,0.609049384796911,1.04247230918495,2.5860115158045
"Breast.Cancer",0.656015599642038,1.52435399485265,0.370275262090747,1.16226092054789
"Pancreatic.Cancer",1.94581386860317,0.513923770477524,1.12243954245442,3.37318088684691
"Melanoma",0.860144946326984,1.16259475135002,0.281107609214062,2.63190786887757
"Prostate.Cancer",1.43291906294705,0.697876122844876,0.745173576224966,2.75540774185635
"Bladder.Cancer",1.51297324130957,0.660950222182674,0.799702852728097,2.86242323771863
"Esophagogastric.Cancer",0.890967890168176,1.1223749037816,0.420079281041882,1.88969991412546
"Hepatobiliary.Cancer",1.99268664425943,0.501835049118646,0.995400377629332,3.98914863953222
"Colorectal.Cancer",0.683755902520123,1.46251022669683,0.208907773594741,2.23793555494039
"TP53",1.40453451183234,0.711979657014915,1.11579750946119,1.76798852677196
"KRAS",1.12009138641242,0.892784296112601,0.829144257569929,1.51313200623534
"EGFR",1.60942823324229,0.621338671302814,1.17835399975069,2.19820125234475
"PIK3CA",0.981374530118469,1.01897896196601,0.664323267981622,1.44973993051812
"CDKN2A",1.13858036225138,0.878286709620252,0.87224857175104,1.48623372200201
"ARID1A",1.07826172818976,0.927418616330608,0.723145974330417,1.60776440130958
"ATM",1.16016623831849,0.861945441068318,0.59003016507121,2.28121506359192
"RB1",0.855433479803175,1.16899796841022,0.561496881772168,1.30324221224276
"APC",0.709337578974735,1.40976599808146,0.307745847507514,1.63498485851528
"NF1",1.03961522161636,0.961894342452229,0.546826445112032,1.97649513602988
"KEAP1",1.17685653985087,0.849721241406979,0.694330389206331,1.99471510525832
"BRCA2",1.36989401328069,0.729983480696545,0.806824232568349,2.32592122530642
"TERT",0.935161309481242,1.06933423128329,0.648785304265194,1.3479446420895
"SMAD4",1.05894029391147,0.944340304878041,0.664038887468675,1.68868806817012
"STK11",1.35907822075346,0.735792822465812,0.845605154668239,2.18434525845702
"SF3B1",1.5843193416787,0.631185881339066,0.648521321737169,3.87044757401902
"KDM6A",0.977522793413083,1.02299404856682,0.543748631454456,1.75733924899479
"AR",0.342608368621789,2.91878451195662,0.0439231924082441,2.67240352565201
"PTEN",1.295131277531,0.772122500127066,0.793620023480025,2.11356187648069
"ERBB2",1.29764130799941,0.770628981857637,0.861795850036005,1.95391166499128
"ESR1",1.68722181446947,0.592690297994065,0.590121841846814,4.82394863120594
"BRAF",1.27776804296881,0.782614658038063,0.71361192150224,2.28792586339551
"BRCA1",0.868183951086283,1.15182963097715,0.302922930047959,2.48823478897572
"CDH1",1.0064561176836,0.99358529639776,0.473701172925215,2.13838169444995
"GATA3",1.40422317770728,0.712137511953573,0.796378486659003,2.47601205437213
"TSC2",1.88301591289493,0.531062957647877,0.702654319195695,5.04622092449988
"PTCH1",0.266521532346805,3.75204206277327,0.0334434604493802,2.12399453435764
"CTNNB1",1.13177480725553,0.883567997440164,0.637432660689726,2.00948946191791
"FGFR2",1.38565562209751,0.721680036549245,0.429161393721261,4.47393808283117
"FBXW7",0.680176930967374,1.4702056986522,0.288966951533027,1.60101580809084
"FGFR3",1.62166831515439,0.616648910665061,0.602676378966902,4.36354935443738
"DNMT3A",1.73799259928694,0.575376443150725,0.624756305857907,4.8348744091959
"KIT",0.460496214521111,2.17157051125804,0.0639550447500699,3.3157159754476
"TSC1",1.0854059964717,0.921314239326732,0.43994967467298,2.67782031672697
"ALK",0.000866804315627045,1153.6629224978,0.00022826543629406,0.00329156149870081
"FOXA1",1.56162639447177,0.640358029001076,1.03420544533985,2.35801987593436
"SMARCA4",1.83190078215413,0.545881092328646,1.08705850478727,3.08710199209899
"MET",1.00213537056359,0.997869179527727,0.483730990505418,2.07610287669458
"MSH6",0.332974066574498,3.00323688954997,0.0785647616774357,1.41121447636238
